family,system,kind,kind_n,kernel,method,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,agg_horizon_instab,agg_horizon_sens,sc,vamp2,admissible_v2_fam,violations_v2_fam,rank_v2_fam,admissible_v2_pooled,violations_v2_pooled,rank_v2_pooled,admissible_v3_fam,violations_v3_fam,rank_v3_fam,admissible_v3_pooled,violations_v3_pooled,rank_v3_pooled,true_eig_err,agg_koopman_gap,score_noSSL_fam,score_noSSL_pooled,score_fam,score_pooled
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.08267492256039076),Reduced Rank,1.6038508420753546,40.93238528425287,0.0836004834108501,0.0391829313375581,,,,4.0,0.0001505554249058,0.0,-1.135293153936307,3.000000000000257,True,,13,True,,46,True,,19,True,,46,,0.0127356703719747,-3.993940921631076,-0.4818962800636182,-2.020242309385199,-0.5522543778943109
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.1609004889348255),Reduced Rank,4.0419299584555946,24.366839336046286,0.1180153499826613,0.1658783029966589,,,,4.0,0.0002368899661622,0.0,-1.2034203110000468,3.000000000000227,True,,17,True,,54,True,,22,True,,56,,0.022651487793148,-2.845139629698931,-0.14589195708031025,-1.1929496571774192,-0.24701735123830554
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.16534984512078152),Reduced Rank,3.772478909657374,40.3404639076709,0.0821411989099692,0.0935160021533619,,,,4.0,0.0001662464245745,0.0,-1.2063758401201363,3.0000000000001794,True,,20,True,,48,True,,24,True,,48,,0.012270888558641,-3.2411516431058867,-0.3424087704625757,-1.5386636655271253,-0.4448689280858065
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.08045024446741275),Reduced Rank,1.4523071522182458,24.76033054381865,0.1195379570963598,0.0586545946811202,,,,4.0,0.0002612840388517,0.0,-1.1327572678714677,3.00000000000011,True,,12,True,,49,True,,23,True,,49,,0.0230464728384708,-3.339511449450964,-0.31484443657783073,-1.1479059160937957,-0.38405728835128783
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.040225122233706376),Reduced Rank,1.0918118322479708,32.046221656299984,0.120600603844367,0.0340699082705536,,,,4.0,0.0002744565953294,0.0,-1.078118283137667,3.0000000000002944,True,,19,True,,50,True,,27,True,,51,,0.0232924866800731,-2.5648552391924726,-0.30652901815089495,-0.33796361188000434,-0.35106604450064405
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=1.690141874410565),Reduced Rank,38.92268900257999,46.60131772182359,0.1436241259114331,0.8352272190009838,,,,5.0,0.0,0.0,-1.4819854602796168,3.000000000000501,True,,30,True,,96,True,,31,True,,92,,0.0050454636017605,-0.7399338282199794,1.5477506018319813,-0.9550080172025627,1.320820802151112
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=1.5019988800318427),Reduced Rank,18.210430261618463,42.59384284174872,0.1686561727578326,0.4275366824561167,,,,5.0,7.00616569826451e-05,0.0,-1.4644210754375857,3.0000000000003744,True,,29,True,,97,True,,30,True,,93,,0.0023820778159897,-0.6954111971669744,1.5688776793694075,-0.6407960537829593,1.349880232314729
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=1.4847820971862247),Reduced Rank,16.94176765423512,48.3308815157774,0.1398657253152146,0.3505371125644492,,,,5.0,7.343551756222588e-05,0.0,-1.4627345184553224,3.0000000000004072,True,,28,True,,94,True,,29,True,,90,,0.0254274190253626,0.6537761775175045,1.4254497256333383,0.6716985745369913,1.2072139542551559
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.8961990358076725),Reduced Rank,3.294724757318165,40.93694970188314,0.1488569385536825,0.0804829080161437,,,,5.0,9.533558457219816e-05,0.0,-1.3943671240477264,3.000000000000546,True,,27,True,,88,True,,25,True,,87,,0.0197451907092837,-1.2201688334481862,1.1499014126756064,-1.0301142733944613,0.9625414325900167
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=2.8935291492654858),Reduced Rank,168.32573454635482,58.16031538969984,0.0993760522217793,2.894168186993106,,,,4.0,9.438417990970116e-05,0.0,-1.5671369004420177,3.000000000000405,True,,31,True,,76,True,,32,True,,78,,0.0252817112752615,1.495324692902504,0.5685308594982105,0.9592909578785774,0.3031453293115375
