system,kind,family,kernel,trial,sc,vamp2
ou,all,rbf,rbf(gamma=2.2011538806303657),2,-1.5236835440488536,3.000000000000293
ou,all,rbf,rbf(gamma=0.19117749334115847),2,-1.159532459167163,2.9999999999999787
ou,all,rbf,rbf(gamma=1.245408695637331),2,-1.4542037943256072,3.000000000000281
ou,all,rbf,rbf(gamma=1.1585120428898759),2,-1.4434589740941708,3.000000000000222
ou,all,rbf,rbf(gamma=1.6680336249730923),2,-1.493599531175642,3.000000000000433
ou,all,rbf,rbf(gamma=0.2618639846493067),2,-1.201417331004661,3.0
ou,all,rbf,rbf(gamma=2.5744446193586072),2,-1.5369280774803868,3.0000000000001688
ou,all,rbf,rbf(gamma=0.38235498668231693),2,-1.2593623046775237,3.000000000000358
ou,all,rbf,rbf(gamma=0.5237279692986134),2,-1.3118594053274515,3.000000000000142
ou,all,rbf,rbf(gamma=0.7647099733646339),2,-1.3764906960400092,3.0000000000001643
ou,all,rbf,rbf(gamma=1.0474559385972269),2,-1.4279500061844006,3.0000000000001736
ou,all,rbf,rbf(gamma=2.490817391274662),2,-1.534379387209185,3.000000000000267
ou,all,rbf,rbf(gamma=2.0949118771944537),2,-1.5189123072380297,3.0000000000001696
ou,all,rbf,rbf(gamma=1.5294199467292677),2,-1.482642286199096,3.0000000000001332
ou,all,rbf,rbf(gamma=3.0588398934585355),2,-1.548003760555321,3.000000000000339
ou,all,linear,linear,2,-0.4936594140735119,0.9999999999999512
ou,all,poly,poly(p=1),2,-1.449364375373269,1.9999999999997096
ou,all,poly,poly(p=2),2,-1.8364399350256968,2.999999999999935
ou,all,poly,poly(p=3),2,-1.7288874029224162,3.000000000000838
ou,all,poly,poly(p=4),2,1.347852064511354,3.0000000000002407
ou,all,hermite,hermite(good),2,-1.0747615612058634,2.999999999996163
ou,all,hermite,hermite(bad),2,-1.8162025735511398,3.0000000000002367
ou,all,hermite,hermite(ugly),2,-0.24620646877661106,1.0000054399401783
langevin,all,rbf,rbf(gamma=0.3767),0,-1.2111527470719587,3.0000000000001625
