system,kind,family,kernel,sc,vamp2,kind_n,kind_u,agg_bias_mean,agg_dist_mean,mean_spurious_residual_count,score_unified,kind_t,true_eig_err
duffing,omega=0.5,rbf,rbf(gamma=0.876859817628235),-1.1081162057202174,3.0000000000005276,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.8774541572080873),-1.108182239753832,3.0000000000005564,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.8863102007103911),-1.109165124328953,3.000000000000527,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.8961990358076725),-1.1102602781205864,3.000000000000618,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.9215089842151865),-1.1130519967760473,3.0000000000005205,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.9217293519894691),-1.113076232688708,3.000000000000675,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.9522780610332793),-1.1164241749517716,3.000000000000506,omega=0.5,omega=0.5,0.3120193126755701,10.43168775418506,4.0,-1.9182730229157523,,
duffing,omega=0.5,rbf,rbf(gamma=0.9555315205560131),-1.1167793587579566,3.0000000000003983,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.9639089414438652),-1.1176927182994951,3.000000000000298,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.9728904934744245),-1.1186700071860398,3.0000000000003073,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.9771097878937789),-1.1191284210251655,3.000000000000425,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.0106348811253154),-1.1227552058896324,3.0000000000003753,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.0182051082140997),-1.123570339215278,3.0000000000003495,omega=0.5,omega=0.5,0.274266300850827,11.423641817130486,4.0,-3.108870277644932,,
duffing,omega=0.5,rbf,rbf(gamma=1.0344914254467348),-1.1253192397357348,3.000000000000417,omega=0.5,omega=0.5,0.2601301284801252,10.92457081544942,4.0,-0.3616312618875501,,
duffing,omega=0.5,rbf,rbf(gamma=1.0497348323996596),-1.1269502959248312,3.000000000000424,omega=0.5,omega=0.5,0.262101145225781,11.011571147955465,4.0,-1.2922733052522326,,
duffing,omega=0.5,rbf,rbf(gamma=1.0561608030839489),-1.1276361904463654,3.0000000000003957,omega=0.5,omega=0.5,0.2580295729775946,10.972408128020836,4.0,-1.281486757895029,,
duffing,omega=0.5,rbf,rbf(gamma=1.059983763386311),-1.128043770979943,3.0000000000003357,omega=0.5,omega=0.5,0.2818582463360317,11.588131622077928,4.0,-2.632909039135019,,
duffing,omega=0.5,rbf,rbf(gamma=1.0645576082910153),-1.12853094209432,3.000000000000339,omega=0.5,omega=0.5,0.2712428171451473,11.674664894437596,4.0,-2.1979138779424203,,
duffing,omega=0.5,rbf,rbf(gamma=1.0711492864916123),-1.1292321492832864,3.0000000000004943,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.0831438206065411),-1.1305054152670495,3.0000000000004454,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.0982608774181066),-1.1321052300303844,3.00000000000038,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.1195013744523856),-1.1343438530014116,3.000000000000274,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.1231347417915074),-1.1347257128650032,3.000000000000361,omega=0.5,omega=0.5,0.3659975694373334,10.90862058977917,2.0,-5.0596159812882915,,
duffing,omega=0.5,rbf,rbf(gamma=1.131751085935128),-1.1356300217671125,3.000000000000339,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.1319554646341132),-1.1356514505092403,3.0000000000003033,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.1624811333852527),-1.1388409385734912,3.0000000000003326,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.173884968681284),-1.1400268512406728,3.000000000000392,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.1779519133409364),-1.1404490461796544,3.0000000000004796,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.2005106137423613),-1.1427838888289028,3.0000000000003335,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.2069353473323814),-1.1434466884228789,3.0000000000003126,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.2070035515837005),-1.1434537194939176,3.000000000000378,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.2100705344236693),-1.1437697786245822,3.000000000000474,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.2102955344637036),-1.143792956780766,3.00000000000027,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.2575479605827247),-1.148634760523792,3.0000000000003317,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.2763347038101887),-1.150545566936582,3.0000000000003646,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.2844715104382538),-1.151370672790706,3.00000000000032,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.2888104811430485),-1.1518100485035596,3.000000000000411,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.320553372359053),-1.1550114838632115,3.0000000000005413,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.3227987609662522),-1.1552370842388375,3.0000000000004903,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=1.3231803340739758),-1.1552754106973473,3.000000000000423,omega=0.5,,,,,,,
