system,kind,family,kernel,sc,vamp2
duffing,omega=0.5,rbf,rbf(gamma=1.736716296940095),-1.1949655330720381,3.0000000000005778
duffing,omega=0.5,rbf,rbf(gamma=1.75371963525647),-1.1965216064110358,3.0000000000004916
duffing,omega=0.5,rbf,rbf(gamma=1.7549083144161746),-1.1966301741022278,3.000000000000514
duffing,omega=0.5,rbf,rbf(gamma=1.7726204014207823),-1.198244582642531,3.000000000000386
duffing,omega=0.5,rbf,rbf(gamma=1.792398071615345),-1.2000399361935978,3.000000000000396
duffing,omega=0.5,rbf,rbf(gamma=1.8034541136894202),-1.2010402145463746,3.000000000000338
duffing,omega=0.5,rbf,rbf(gamma=1.843017968430373),-1.2046001184916604,3.0000000000004867
duffing,omega=0.5,rbf,rbf(gamma=1.8434587039789383),-1.204639603780029,3.0000000000005786
duffing,omega=0.5,rbf,rbf(gamma=1.9045561220665586),-1.2100770560463985,3.0000000000008047
duffing,omega=0.5,rbf,rbf(gamma=1.9110630411120262),-1.2106519355087402,3.000000000000776
duffing,omega=0.5,rbf,rbf(gamma=1.9278178828877304),-1.2121285042757497,3.0000000000006573
duffing,omega=0.5,rbf,rbf(gamma=1.945780986948849),-1.2137056503791592,3.000000000000567
duffing,omega=0.5,rbf,rbf(gamma=1.9542195757875578),-1.2144444507838628,3.0000000000005547
duffing,omega=0.5,rbf,rbf(gamma=1.9938954765155223),-1.2179001924038046,3.000000000000474
duffing,omega=0.5,rbf,rbf(gamma=10.060383684661797),-1.5792173267164433,3.0000000000005524
duffing,omega=0.5,rbf,rbf(gamma=10.310483849144388),-1.5846569478097818,3.0000000000007088
duffing,omega=0.5,rbf,rbf(gamma=10.564426978872424),-1.5900019096747744,3.0000000000009237
duffing,omega=0.5,rbf,rbf(gamma=11.574116597061943),-1.6096329631442068,3.000000000000595
duffing,omega=0.5,rbf,rbf(gamma=11.878256777489797),-1.6150842946525934,3.000000000000616
duffing,omega=0.5,rbf,rbf(gamma=12.498904560884684),-1.6256166724499448,3.0000000000006275
duffing,omega=0.5,rbf,rbf(gamma=12.828889687756691),-1.6309153852764784,3.0000000000007017
duffing,omega=0.5,rbf,rbf(gamma=13.524554082434403),-1.6414612991832997,3.0000000000008704
duffing,omega=0.5,rbf,rbf(gamma=13.89373037552076),-1.6467389507121688,3.0000000000005067
duffing,omega=0.5,rbf,rbf(gamma=14.33918457292276),-1.6528357007722434,3.000000000000894
duffing,omega=0.5,rbf,rbf(gamma=14.427632909515362),-1.654012594019454,3.0000000000010214
duffing,omega=0.5,rbf,rbf(gamma=15.566247895590791),-1.6682487268733042,3.000000000000698
duffing,omega=0.5,rbf,rbf(gamma=15.951163812124179),-1.6727074921752771,3.000000000000888
duffing,omega=0.5,rbf,rbf(gamma=16.56417965469934),-1.6794765653528334,3.0000000000004783
duffing,omega=0.5,rbf,rbf(gamma=17.138388583865797),-1.685474040401098,3.000000000000623
