kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
hermite(bad),omega=1.2,Reduced Rank,1,,3,0.0003662190097915019,5
hermite(ugly),omega=1.2,Reduced Rank,1,,1,3.430073590334986,5
hermite(good),omega=1.2,Reduced Rank,2,,4,1.0278046564484618,5
hermite(bad),omega=1.2,Reduced Rank,2,,3,2.6179700860495814e-05,5
hermite(ugly),omega=1.2,Reduced Rank,2,,2,4.016754984274039,4
hermite(good),omega=1.2,Reduced Rank,3,,4,1.0160344952452105,5
hermite(bad),omega=1.2,Reduced Rank,3,,3,8.333302037388801e-05,5
hermite(ugly),omega=1.2,Reduced Rank,3,,4,5.688008023392328,5
hermite(good),omega=1.2,Reduced Rank,4,,4,0.5300111414000417,5
hermite(bad),omega=1.2,Reduced Rank,4,,1,0.0,5
hermite(ugly),omega=1.2,Reduced Rank,4,,0,6.709851010859348,5
hermite(good),omega=1.2,Reduced Rank,5,,4,0.6175902210937216,5
hermite(bad),omega=1.2,Reduced Rank,5,,3,6.909688106382372e-05,5
hermite(ugly),omega=1.2,Reduced Rank,5,,1,4.040526233172933,5
hermite(good),omega=1.2,Reduced Rank,6,,5,1.0258217708042379,5
hermite(bad),omega=1.2,Reduced Rank,6,,1,0.0001362498330841344,5
hermite(ugly),omega=1.2,Reduced Rank,6,,3,4.766572237722497,4
hermite(good),omega=1.2,Reduced Rank,7,,3,0.9981285851212314,5
hermite(bad),omega=1.2,Reduced Rank,7,,0,7.724745369364072e-06,5
hermite(ugly),omega=1.2,Reduced Rank,7,,2,4.987767563226874,5
hermite(good),omega=1.2,Reduced Rank,8,,3,1.4834545303645075,5
hermite(bad),omega=1.2,Reduced Rank,8,,4,2.3935705969369003e-05,5
hermite(ugly),omega=1.2,Reduced Rank,8,,0,5.549848195125624,5
hermite(good),omega=1.2,Reduced Rank,9,,4,0.9740461502654771,5
hermite(bad),omega=1.2,Reduced Rank,9,,5,6.54167413384199e-05,5
hermite(ugly),omega=1.2,Reduced Rank,9,,0,5.0675597557934315,5
hermite(good),omega=1.5,Principal Components (kDMD),0,,4,0.00015171952891290807,5
hermite(bad),omega=1.5,Principal Components (kDMD),0,,4,0.00013218115023316823,5
hermite(ugly),omega=1.5,Principal Components (kDMD),0,,1,,1
hermite(good),omega=1.5,Principal Components (kDMD),1,,4,0.0024605016321349593,5
hermite(bad),omega=1.5,Principal Components (kDMD),1,,1,0.0023431837976239933,5
hermite(ugly),omega=1.5,Principal Components (kDMD),1,,1,,1
hermite(good),omega=1.5,Principal Components (kDMD),2,,4,0.00017704945945429262,5
hermite(bad),omega=1.5,Principal Components (kDMD),2,,4,0.00013264001027690764,5
hermite(ugly),omega=1.5,Principal Components (kDMD),2,,1,,1
hermite(good),omega=1.5,Principal Components (kDMD),3,,4,0.0023055998378140874,5
hermite(bad),omega=1.5,Principal Components (kDMD),3,,4,0.0021955092031284984,5
hermite(ugly),omega=1.5,Principal Components (kDMD),3,,1,,1
hermite(good),omega=1.5,Principal Components (kDMD),4,,4,0.0004723116415586981,5
hermite(bad),omega=1.5,Principal Components (kDMD),4,,4,0.0004608600507556293,5
hermite(ugly),omega=1.5,Principal Components (kDMD),4,,1,,1
hermite(good),omega=1.5,Principal Components (kDMD),5,,4,0.0001697253528921694,5
hermite(bad),omega=1.5,Principal Components (kDMD),5,,4,0.0001259562761226629,5
hermite(ugly),omega=1.5,Principal Components (kDMD),5,,1,,1
hermite(good),omega=1.5,Principal Components (kDMD),6,,4,0.0005328025751709653,5
hermite(bad),omega=1.5,Principal Components (kDMD),6,,4,0.0005447743103034197,5
hermite(ugly),omega=1.5,Principal Components (kDMD),6,,1,,1
