kernel,kind,omega,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
rbf(gamma=0.03838346396753446),omega=1.0,1.0,Principal Components (kDMD),6,,4,0.00849614239263996,5
rbf(gamma=0.07676692793506892),omega=1.0,1.0,Principal Components (kDMD),6,,5,0.008251038545282308,5
rbf(gamma=0.15353385587013785),omega=1.0,1.0,Principal Components (kDMD),6,,5,0.008231744663790619,5
rbf(gamma=0.3070677117402757),omega=1.0,1.0,Principal Components (kDMD),6,,5,0.008907301453265237,5
rbf(gamma=0.6141354234805514),omega=1.0,1.0,Principal Components (kDMD),6,,5,0.010609757738381687,5
rbf(gamma=0.03979291454067298),omega=1.0,1.0,Principal Components (kDMD),7,,5,0.010490849720698248,5
rbf(gamma=0.07958582908134595),omega=1.0,1.0,Principal Components (kDMD),7,,5,0.009899194534756739,5
rbf(gamma=0.1591716581626919),omega=1.0,1.0,Principal Components (kDMD),7,,5,0.009222363580743798,5
rbf(gamma=0.3183433163253838),omega=1.0,1.0,Principal Components (kDMD),7,,5,0.008889157342563014,5
rbf(gamma=0.6366866326507676),omega=1.0,1.0,Principal Components (kDMD),7,,5,0.009144545817440952,5
rbf(gamma=0.048804893879002685),omega=1.0,1.0,Principal Components (kDMD),8,,5,0.01170981290532036,5
rbf(gamma=0.09760978775800537),omega=1.0,1.0,Principal Components (kDMD),8,,5,0.01111363263361509,5
rbf(gamma=0.19521957551601074),omega=1.0,1.0,Principal Components (kDMD),8,,5,0.010487743035032304,5
rbf(gamma=0.3904391510320215),omega=1.0,1.0,Principal Components (kDMD),8,,5,0.010344092767172852,5
rbf(gamma=0.780878302064043),omega=1.0,1.0,Principal Components (kDMD),8,,5,0.01359173319536311,5
rbf(gamma=0.03833455846003302),omega=1.0,1.0,Principal Components (kDMD),9,,5,0.009201891720841848,5
rbf(gamma=0.07666911692006605),omega=1.0,1.0,Principal Components (kDMD),9,,5,0.008616625671981626,5
rbf(gamma=0.1533382338401321),omega=1.0,1.0,Principal Components (kDMD),9,,5,0.007869088685706016,5
rbf(gamma=0.3066764676802642),omega=1.0,1.0,Principal Components (kDMD),9,,5,0.007407932756530067,5
