kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
rbf(gamma=3.181),1.59,Principal Components (kDMD),3.0,1.0,0.05857035777371567,,9.221422140766908,0.0063515536844130005,0.3987229884303819,,3.0,4.4,0.040930883345472145,0.003495017837001824,5.0
rbf(gamma=3.181),1.59,Reduced Rank,3.0,1.0,10.292173783421125,,36.81579107539465,0.2795586753071229,0.33722230158669164,,3.0,4.2,0.036934837487608375,0.0009021552983676031,5.0
rbf(gamma=3.193),1.596,Principal Components (kDMD),3.0,1.0,0.06098677965797757,,9.27409285880261,0.006576037202397782,0.4135729640591773,,3.0,4.4,0.04684209985718109,0.004147144508263025,5.0
rbf(gamma=3.193),1.596,Reduced Rank,3.0,1.0,13.2646589527554,,41.15096818480611,0.3223413576367085,0.35663593618546047,,3.0,4.2,0.04193479696533835,0.001649940514268489,5.0
rbf(gamma=3.265),1.633,Principal Components (kDMD),3.0,1.0,0.0621761390210361,,9.25608122932474,0.0067173285843745816,0.41872269841389986,,3.0,4.4,0.05069996151890497,0.004303243944217356,5.0
rbf(gamma=3.265),1.633,Reduced Rank,3.0,1.0,119.4832515844376,,41.31469133527993,2.8920281798742877,0.3637114022569104,,3.0,4.2,0.045453575456505524,0.0014581052358916278,5.0
rbf(gamma=3.37),1.685,Principal Components (kDMD),3.0,1.0,0.06796043839800599,,9.289862844834001,0.0073155480907662815,0.4213236795967328,,3.0,4.4,0.043875041650395886,0.004002981034362787,5.0
rbf(gamma=3.37),1.685,Reduced Rank,3.0,1.0,9.357276483149839,,31.327426309959264,0.2986927936743746,0.35608260568138833,,3.0,4.0,0.03980830484061837,0.0009506507097505917,5.0
rbf(gamma=3.372),1.686,Principal Components (kDMD),3.0,1.0,0.06821605531546802,,9.351913894003438,0.00729434168114069,0.41810658236384024,,3.0,4.4,0.050048732535855865,0.004644464517689822,5.0
rbf(gamma=3.372),1.686,Reduced Rank,3.0,1.0,43.86187731586314,,49.40634419426394,0.8877782404502516,0.369629174077733,,3.0,4.2,0.04526589503050711,0.0010037624423999162,5.0
rbf(gamma=3.415),1.707,Principal Components (kDMD),3.0,1.0,0.0739006239638881,,9.324958293804759,0.007925035333722148,0.41213501449237555,,3.2,4.6,0.051259816559447266,0.004422242214764471,5.0
rbf(gamma=3.415),1.707,Reduced Rank,3.0,1.0,18.47072407842318,,44.439682518931626,0.41563582436833385,0.35095176723944344,,3.0,4.2,0.04677249021989718,0.0009126120800644416,5.0
