kernel,kind,method,bias_gap_corr
rbf(gamma=25.80937644421524),damping=0.1,Principal Components (kDMD),
rbf(gamma=25.80937644421524),damping=0.1,Reduced Rank,
rbf(gamma=259.86683228185086),damping=1.5,Principal Components (kDMD),
rbf(gamma=259.86683228185086),damping=1.5,Reduced Rank,
rbf(gamma=265.6900216854081),damping=0.1,Principal Components (kDMD),
rbf(gamma=265.6900216854081),damping=0.1,Reduced Rank,
rbf(gamma=27.205726841434327),damping=1.0,Principal Components (kDMD),
rbf(gamma=27.205726841434327),damping=1.0,Reduced Rank,
rbf(gamma=27.25368198345877),damping=1.0,Principal Components (kDMD),
rbf(gamma=27.25368198345877),damping=1.0,Reduced Rank,
rbf(gamma=27.25939890024729),damping=1.5,Principal Components (kDMD),
rbf(gamma=27.25939890024729),damping=1.5,Reduced Rank,
rbf(gamma=27.481157181803574),damping=1.5,Principal Components (kDMD),
rbf(gamma=27.481157181803574),damping=1.5,Reduced Rank,
rbf(gamma=277.52835494936784),damping=1.5,Principal Components (kDMD),
rbf(gamma=277.52835494936784),damping=1.5,Reduced Rank,
rbf(gamma=28.010148279262705),damping=0.5,Principal Components (kDMD),
rbf(gamma=28.010148279262705),damping=0.5,Reduced Rank,
rbf(gamma=28.582681142801377),damping=0.3,Principal Components (kDMD),
rbf(gamma=28.582681142801377),damping=0.3,Reduced Rank,
rbf(gamma=29.28074519039831),damping=1.0,Principal Components (kDMD),
rbf(gamma=29.28074519039831),damping=1.0,Reduced Rank,
rbf(gamma=29.366597820570476),damping=0.1,Principal Components (kDMD),
rbf(gamma=29.366597820570476),damping=0.1,Reduced Rank,
rbf(gamma=294.43116223272114),damping=0.3,Principal Components (kDMD),
rbf(gamma=294.43116223272114),damping=0.3,Reduced Rank,
rbf(gamma=3.009989912626664),damping=0.0,Principal Components (kDMD),
rbf(gamma=3.009989912626664),damping=0.0,Reduced Rank,
rbf(gamma=3.115462785283972),damping=0.5,Principal Components (kDMD),
rbf(gamma=3.115462785283972),damping=0.5,Reduced Rank,
rbf(gamma=3.1975260341675518),damping=0.3,Principal Components (kDMD),
rbf(gamma=3.1975260341675518),damping=0.3,Reduced Rank,
rbf(gamma=3.2220659341103914),damping=0.5,Principal Components (kDMD),
rbf(gamma=3.2220659341103914),damping=0.5,Reduced Rank,
rbf(gamma=3.226172055526905),damping=0.1,Principal Components (kDMD),
rbf(gamma=3.226172055526905),damping=0.1,Reduced Rank,
rbf(gamma=3.2723201991360593),damping=0.0,Principal Components (kDMD),
rbf(gamma=3.2723201991360593),damping=0.0,Reduced Rank,
rbf(gamma=3.400715855179291),damping=1.0,Principal Components (kDMD),
rbf(gamma=3.400715855179291),damping=1.0,Reduced Rank,
rbf(gamma=3.406710247932346),damping=1.0,Principal Components (kDMD),
rbf(gamma=3.406710247932346),damping=1.0,Reduced Rank,
rbf(gamma=3.4199819473422584),damping=0.5,Principal Components (kDMD),
rbf(gamma=3.4199819473422584),damping=0.5,Reduced Rank,
rbf(gamma=3.501268534907838),damping=0.5,Principal Components (kDMD),
rbf(gamma=3.501268534907838),damping=0.5,Reduced Rank,
rbf(gamma=3.572835142850172),damping=0.3,Principal Components (kDMD),
rbf(gamma=3.572835142850172),damping=0.3,Reduced Rank,
rbf(gamma=3.643722640523985),damping=0.3,Principal Components (kDMD),
rbf(gamma=3.643722640523985),damping=0.3,Reduced Rank,
rbf(gamma=3.6708247275713095),damping=0.1,Principal Components (kDMD),
rbf(gamma=3.6708247275713095),damping=0.1,Reduced Rank,
rbf(gamma=3.9529427963892587),damping=0.0,Principal Components (kDMD),
rbf(gamma=3.9529427963892587),damping=0.0,Reduced Rank,
rbf(gamma=3.9546952699311673),damping=0.1,Principal Components (kDMD),
rbf(gamma=3.9546952699311673),damping=0.1,Reduced Rank,
rbf(gamma=3.963090070443323),damping=0.3,Principal Components (kDMD),
rbf(gamma=3.963090070443323),damping=0.3,Reduced Rank,
rbf(gamma=3.9886958181080536),damping=0.1,Principal Components (kDMD),
rbf(gamma=3.9886958181080536),damping=0.1,Reduced Rank,
rbf(gamma=329.3804983663976),damping=1.5,Principal Components (kDMD),
rbf(gamma=329.3804983663976),damping=1.5,Reduced Rank,
rbf(gamma=33.211252710676014),damping=0.1,Principal Components (kDMD),
rbf(gamma=33.211252710676014),damping=0.1,Reduced Rank,
