family,system,kind,kernel,method,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,agg_bias_mean_z,agg_dist_mean_z,agg_spurious_mean_z,agg_trunc_mean_z,agg_bias_std_z,agg_spurious_std_z,mean_spurious_ref_count_z,mean_spurious_residual_count_z,mean_spectral_gap_z,agg_horizon_instab_z,agg_horizon_sens_z,score_vs_analytic,rank_score_vs_analytic
rbf,duffing,omega=0.5,rbf(gamma=1.736716296940095),PCR,0.0170603710118125,14.784524458783189,0.1281416525840308,0.0011539343764064,,,,4.0,0.0017651868590231,6.227808579928329e-05,0.0,-0.3841983376272321,-0.1914571215074359,0.014637788694506375,-0.451890118864582,0.0,0.0,0.0,0.15599210606024946,0.10464135154769617,-0.1114413093585283,-0.08980265101338747,-0.7798939084102708,67
rbf,duffing,omega=0.5,rbf(gamma=4.072820432856399),PCR,0.3669612244474955,10.209752783122845,0.1204299312010695,0.0359422242871637,,,,4.0,0.0004520438937746,0.0002192672377449,0.0,-0.37981513585423077,-0.22864615371930067,-0.0417768820609118,-0.4265520089515675,0.0,0.0,0.0,0.15599210606024946,0.1075820333622413,-0.11056622208925847,-0.08980265101338747,-0.8540999264715028,63
rbf,duffing,omega=0.5,rbf(gamma=2.119967526772622),PCR,0.3519479367077722,9.952898469991135,0.1289615235124657,0.0353613510445149,,,,5.0,0.0006186008159155,0.0001795074814516,0.0,-0.38000320704294943,-0.23073416247734058,0.020635509072707277,-0.42697508896226993,0.0,0.0,0.0,1.121289792076645,0.10720904205437282,-0.11078785050198847,-0.08980265101338747,0.1707144066597377,88
rbf,duffing,omega=0.5,rbf(gamma=2.0364102164281994),PCR,0.3488827838491606,10.138046655320425,0.1280982141923232,0.0344132154556684,,,,5.0,0.0005554190423622,0.0001777029678764,0.0,-0.3800416041583394,-0.22922906401203075,0.014320017545286308,-0.4276656651252334,0.0,0.0,0.0,1.121289792076645,0.10735053273544556,-0.11079790920246116,-0.08980265101338747,0.16558101504081857,87
rbf,duffing,omega=0.5,rbf(gamma=2.0689828508934696),PCR,0.3551063788876349,9.897783049734512,0.1559367395857076,0.0358773653759929,,,,5.0,0.0005803400631058,0.0001812408056536,0.0,-0.3799636412938901,-0.2311822043217454,0.21797120855616525,-0.4265992490494365,0.0,0.0,0.0,1.121289792076645,0.10729472404253089,-0.11077818862456645,-0.08980265101338747,0.3678820528757678,95
rbf,duffing,omega=0.5,rbf(gamma=13.89373037552076),PCR,0.3021110472297101,9.920355033310951,0.1615947090910078,0.0304536527387648,,,,5.0,0.0001368473679406,0.000176987454729,0.0,-0.3806275128718041,-0.23099871314801626,0.25936177117308595,-0.43054961934045216,0.0,0.0,0.0,1.121289792076645,0.10828789153310121,-0.1108018976082747,-0.08980265101338747,0.40728992470457287,97
rbf,duffing,omega=0.5,rbf(gamma=1.9045561220665586),PCR,0.5669535863061659,10.859311955292313,0.1045479719841499,0.0522089786756572,,,,4.0,0.0002091903211147,0.0001065309552614,0.0,-0.37730983509123395,-0.2233657859348613,-0.15796047527955637,-0.41470409082506565,0.0,0.0,0.0,0.15599210606024946,0.10812588510086987,-0.11119463548192585,-0.08980265101338747,-0.9569303796028134,59
rbf,duffing,omega=0.5,rbf(gamma=4.239935053545244),PCR,0.3787391305129829,10.097115051572068,0.1358496003211775,0.0375096380083353,,,,5.0,0.0004732042119249,0.000231552903126,0.0,-0.37966759423425017,-0.22956180340061696,0.0710248535529262,-0.42541038051142005,0.0,0.0,0.0,1.121289792076645,0.10753464647107916,-0.1104977394633173,-0.08980265101338747,0.22384699049782875,89
rbf,duffing,omega=0.5,rbf(gamma=2.1291152165820306),PCR,0.3700891563607267,10.449806371196214,0.1643864437443403,0.0354158864972693,,,,5.0,0.0007252672819815,0.0001735331757191,0.0,-0.3797759523067393,-0.22669472067468963,0.2797845514426407,-0.42693536797283377,0.0,0.0,0.0,1.121289792076645,0.10697017077738072,-0.1108211524137731,-0.08980265101338747,0.4339972685129696,98
rbf,duffing,omega=0.5,rbf(gamma=1.7344526114852439),PCR,0.521087559491119,11.466011443990794,0.1137445923952082,0.0454462793828986,,,,4.0,0.0,0.0001006183233842,0.0,-0.3778843979940741,-0.21843383119968365,-0.0906831079075022,-0.41962971431584833,0.0,0.0,0.0,0.15599210606024946,0.10859435059880936,-0.11122759361195897,-0.08980265101338747,-0.8875571575248764,61
